Number,Area,Feret,MinFeret
1,5292,183.96195258802837,35.99095296569419
2,4067,160.4244370412438,33.559361871626365
3,738,40.024992192379,25.730545575439244
4,2932,114.00438588054409,31.5646055626286
5,1420,79.30952023559341,23.0
6,1399,67.35725647619564,29.50299587837236
7,1425,75.27283706623525,25.61444904736387
8,1830,87.05170877128145,26.0
9,1202,68.8839603971781,24.0
10,2281,98.97979591815695,31.658387564509873
11,2788,127.3184982632139,30.000073746222046
12,1992,109.45775440780794,23.972815654631788
13,2477,116.52038448271615,29.0
14,1360,65.55150646628954,26.100175824737118
15,2779,123.36936410632909,30.37919880188347
16,1921,92.11405973031478,28.90675447070307
17,1542,74.79304780526061,29.516097302997224
18,1284,78.10889834071403,29.516097302997224
19,1963,90.13878188659973,29.368482630546737
20,2173,92.91393867445294,29.5221137017903
21,1561,75.92759709091287,28.933059831609793
22,1706,74.02702209328699,30.922404853944002
23,2218,92.43916918709297,30.46194633577426
24,1577,72.11102550927978,28.88090298756341
25,2333,107.83784122468327,30.494045196608965
26,4171,205.9927183179056,31.807909481075775
27,820,81.43709228600933,17.72465853945669
28,4734,203.83571816538927,35.11394456051655
29,1656,69.6419413859206,31.67189303294256
30,5052,218.908656749796,32.31550793575976
31,2361,105.30906893520614,31.15965409502005
32,1498,80.65977932030313,28.2009595164253
33,2824,114.73883387938018,30.126526531270684
34,967,71.56814934033156,21.0
35,1429,77.64663547121665,23.492976641663546
36,1243,68.8839603971781,26.0
37,2077,99.15644204992432,27.92861148445338
38,2282,97.51410154434076,30.39765562093413
39,1278,71.5122367151245,26.183042682964313
40,1348,83.38465086573187,21.912049904892122
41,645,72.01388754955533,16.099689437998485
42,2879,138.1774221788784,30.60476345917009
43,1987,100.00499987500625,28.991378028648448
44,1494,84.5931439302264,23.41680637510693
45,1295,77.69813382572325,23.536506128012082
46,1603,88.76936408468859,25.489147774594052
47,945,62.16912416947821,20.46107860560919
48,2096,99.31767214348109,28.987817751283924
49,1702,93.43446901438462,23.0
50,1511,82.85529554590944,24.54439116267642
51,3041,114.54256850621083,34.31870038151633
52,2409,92.35799911215054,36.05551275463989
53,2343,94.66784036831093,31.922167486042323
54,3519,138.75518008348374,32.77607693901445
55,2369,101.78899744078434,30.18902418442924
56,2559,99.72963451251589,32.29628652870089
57,631,48.05205510693585,22.0
58,2119,97.62171889492625,29.76994277624007
59,2258,93.04837451562494,30.677555737631756
60,5952,216.566387050253,34.441978420396005
61,2974,146.27713423498562,27.97622332656853
62,2719,121.01652779682617,31.041869183993242
63,1268,69.1158447825099,26.07628067407435
64,2852,134.30189872075525,26.580774273440753
65,2544,107.18675291284833,30.710685628711644
66,4005,190.26297590440447,31.783735300287052
67,2139,96.54014708917737,28.04007670530422
68,2037,100.07996802557443,27.563105243099912
69,2236,149.164338901763,25.029210693460982
70,1743,94.66784036831093,24.769922175614262
71,1267,78.77182237323191,21.93190022370794
72,1374,74.33034373659252,25.42703161306061
73,2678,121.23530838827442,31.304951684997054
74,1936,86.40023148117139,29.0
75,3174,140.13208055259867,30.26517965129194
76,4375,172.93062192682936,32.72647443245184
77,1870,88.75246475450696,28.831942336172993
78,2854,119.85407794480753,30.394714498390496
79,2874,136.4734406395618,29.516097302997224
80,1533,74.94664769020693,28.316125257718706
81,1516,87.05170877128145,27.09991909055125
82,1782,79.75587752636166,31.306548835666952
83,1583,67.23094525588644,30.38384574394395
84,990,63.60031446463138,23.620447016121
85,1008,53.85164807134504,27.20627530422354
86,640,61.204574992397426,14.0
